Forecast
1219.2571
1215.6484
1212.8031
1210.5334
1208.696
1207.1802
1205.902
1204.7979
1203.8203
1202.9342
1202.1136
1201.3407
1200.6023
1199.8899
1199.1965
1198.5186
1197.8528
1197.198
1196.552
1195.9147
1195.2854
1194.6637
1194.0493
1193.4421
1192.8416
1192.2476
1191.6605
1191.0795
1190.505
1189.9363
