Metric,Value
Annualized Volatility,0.29730679516095465
Annualized Return,0.16297906678364657
Sharpe Ratio,0.3463730680218601
Maximum Drawdown,-0.44082857319470076
Value at Risk (95%),-0.02410645626985954
Risk Score,45.0
